"","Year","Geo Level","State","State ANSI","organic_detail","Category","measurement","Value","CV (%)"
"1",2021,"NATIONAL","US TOTAL",NA,NA,"ACRES HARVESTED",NA,"5,301","43.5"
"2",2021,"NATIONAL","US TOTAL",NA,NA,"OPERATIONS WITH AREA HARVESTED",NA,"546","6.3"
"3",2021,"NATIONAL","US TOTAL",NA,NA,"OPERATIONS WITH SALES",NA,"546","6.3"
"4",2021,"NATIONAL","US TOTAL",NA,NA,"PRODUCTION"," CWT","1,495,299","51.2"
"5",2021,"NATIONAL","US TOTAL",NA,NA,"SALES"," $","335,964,420","45.7"
"6",2021,"NATIONAL","US TOTAL",NA,NA,"SALES"," CWT","1,494,673","51.3"
"7",2021,"NATIONAL","US TOTAL",NA,"FRESH MARKET","OPERATIONS WITH SALES",NA,"540","6.3"
"8",2021,"NATIONAL","US TOTAL",NA,"FRESH MARKET","SALES"," $","(D)","(D)"
"9",2021,"NATIONAL","US TOTAL",NA,"FRESH MARKET","SALES"," CWT","1,483,234","50.3"
"10",2021,"NATIONAL","US TOTAL",NA,"PROCESSING","OPERATIONS WITH SALES",NA,"18","24.9"
"11",2021,"NATIONAL","US TOTAL",NA,"PROCESSING","SALES"," $","(D)","(D)"
"12",2021,"NATIONAL","US TOTAL",NA,"PROCESSING","SALES"," CWT","11,440","(H)"
"13",2021,"STATE","ALASKA","02",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"14",2021,"STATE","ALASKA","02",NA,"OPERATIONS WITH AREA HARVESTED",NA,"2","(H)"
"15",2021,"STATE","ALASKA","02",NA,"OPERATIONS WITH SALES",NA,"2","(H)"
"16",2021,"STATE","ALASKA","02",NA,"PRODUCTION"," CWT","(D)","(D)"
"17",2021,"STATE","ALASKA","02",NA,"SALES"," $","(D)","(D)"
"18",2021,"STATE","ALASKA","02",NA,"SALES"," CWT","(D)","(D)"
"19",2021,"STATE","ALASKA","02","FRESH MARKET","OPERATIONS WITH SALES",NA,"2","(H)"
"20",2021,"STATE","ALASKA","02","FRESH MARKET","SALES"," $","(D)","(D)"
"21",2021,"STATE","ALASKA","02","FRESH MARKET","SALES"," CWT","(D)","(D)"
"22",2021,"STATE","CALIFORNIA","06",NA,"ACRES HARVESTED",NA,"4,228","45.7"
"23",2021,"STATE","CALIFORNIA","06",NA,"OPERATIONS WITH AREA HARVESTED",NA,"142","19.2"
"24",2021,"STATE","CALIFORNIA","06",NA,"OPERATIONS WITH SALES",NA,"142","19.2"
"25",2021,"STATE","CALIFORNIA","06",NA,"PRODUCTION"," CWT","1,413,251","51.6"
"26",2021,"STATE","CALIFORNIA","06",NA,"SALES"," $","311,784,980","46.0"
"27",2021,"STATE","CALIFORNIA","06",NA,"SALES"," CWT","1,412,627","51.7"
"28",2021,"STATE","CALIFORNIA","06","FRESH MARKET","OPERATIONS WITH SALES",NA,"141","20.4"
"29",2021,"STATE","CALIFORNIA","06","FRESH MARKET","SALES"," $","(D)","(D)"
"30",2021,"STATE","CALIFORNIA","06","FRESH MARKET","SALES"," CWT","1,401,384","50.6"
"31",2021,"STATE","CALIFORNIA","06","PROCESSING","OPERATIONS WITH SALES",NA,"7","60.0"
"32",2021,"STATE","CALIFORNIA","06","PROCESSING","SALES"," $","(D)","(D)"
"33",2021,"STATE","CALIFORNIA","06","PROCESSING","SALES"," CWT","11,244","(H)"
"34",2021,"STATE","CONNECTICUT","09",NA,"ACRES HARVESTED",NA,"3","(H)"
"35",2021,"STATE","CONNECTICUT","09",NA,"OPERATIONS WITH AREA HARVESTED",NA,"8","74.4"
"36",2021,"STATE","CONNECTICUT","09",NA,"OPERATIONS WITH SALES",NA,"8","74.4"
"37",2021,"STATE","CONNECTICUT","09",NA,"PRODUCTION"," CWT","183","(H)"
"38",2021,"STATE","CONNECTICUT","09",NA,"SALES"," $","40,890","(H)"
"39",2021,"STATE","CONNECTICUT","09",NA,"SALES"," CWT","183","(H)"
"40",2021,"STATE","CONNECTICUT","09","FRESH MARKET","OPERATIONS WITH SALES",NA,"8","74.4"
"41",2021,"STATE","CONNECTICUT","09","FRESH MARKET","SALES"," $","40,890","(H)"
"42",2021,"STATE","CONNECTICUT","09","FRESH MARKET","SALES"," CWT","183","(H)"
"43",2021,"STATE","FLORIDA","12",NA,"ACRES HARVESTED",NA,"704","99.8"
"44",2021,"STATE","FLORIDA","12",NA,"OPERATIONS WITH AREA HARVESTED",NA,"10","57.3"
"45",2021,"STATE","FLORIDA","12",NA,"OPERATIONS WITH SALES",NA,"10","57.3"
"46",2021,"STATE","FLORIDA","12",NA,"PRODUCTION"," CWT","67,146","(H)"
"47",2021,"STATE","FLORIDA","12",NA,"SALES"," $","18,358,396","(H)"
"48",2021,"STATE","FLORIDA","12",NA,"SALES"," CWT","67,146","(H)"
"49",2021,"STATE","FLORIDA","12","FRESH MARKET","OPERATIONS WITH SALES",NA,"10","57.3"
"50",2021,"STATE","FLORIDA","12","FRESH MARKET","SALES"," $","18,358,396","(H)"
"51",2021,"STATE","FLORIDA","12","FRESH MARKET","SALES"," CWT","67,146","(H)"
"52",2021,"STATE","GEORGIA","13",NA,"ACRES HARVESTED",NA,"1","92.4"
"53",2021,"STATE","GEORGIA","13",NA,"OPERATIONS WITH AREA HARVESTED",NA,"4","80.4"
"54",2021,"STATE","GEORGIA","13",NA,"OPERATIONS WITH SALES",NA,"4","80.4"
"55",2021,"STATE","GEORGIA","13",NA,"PRODUCTION"," CWT","19","78.0"
"56",2021,"STATE","GEORGIA","13",NA,"SALES"," $","11,600","77.8"
"57",2021,"STATE","GEORGIA","13",NA,"SALES"," CWT","19","78.0"
"58",2021,"STATE","GEORGIA","13","FRESH MARKET","OPERATIONS WITH SALES",NA,"4","80.4"
"59",2021,"STATE","GEORGIA","13","FRESH MARKET","SALES"," $","11,600","77.8"
"60",2021,"STATE","GEORGIA","13","FRESH MARKET","SALES"," CWT","19","78.0"
"61",2021,"STATE","IDAHO","16",NA,"ACRES HARVESTED",NA,"7","87.5"
"62",2021,"STATE","IDAHO","16",NA,"OPERATIONS WITH AREA HARVESTED",NA,"6","53.2"
"63",2021,"STATE","IDAHO","16",NA,"OPERATIONS WITH SALES",NA,"6","53.2"
"64",2021,"STATE","IDAHO","16",NA,"PRODUCTION"," CWT","111","71.4"
"65",2021,"STATE","IDAHO","16",NA,"SALES"," $","31,680","74.1"
"66",2021,"STATE","IDAHO","16",NA,"SALES"," CWT","111","71.4"
"67",2021,"STATE","IDAHO","16","FRESH MARKET","OPERATIONS WITH SALES",NA,"6","53.2"
"68",2021,"STATE","IDAHO","16","FRESH MARKET","SALES"," $","31,680","74.1"
"69",2021,"STATE","IDAHO","16","FRESH MARKET","SALES"," CWT","111","71.4"
"70",2021,"STATE","ILLINOIS","17",NA,"ACRES HARVESTED",NA,"1","95.4"
"71",2021,"STATE","ILLINOIS","17",NA,"OPERATIONS WITH AREA HARVESTED",NA,"5","95.4"
"72",2021,"STATE","ILLINOIS","17",NA,"OPERATIONS WITH SALES",NA,"5","95.4"
"73",2021,"STATE","ILLINOIS","17",NA,"PRODUCTION"," CWT","53","94.9"
"74",2021,"STATE","ILLINOIS","17",NA,"SALES"," $","16,000","95.0"
"75",2021,"STATE","ILLINOIS","17",NA,"SALES"," CWT","53","94.9"
"76",2021,"STATE","ILLINOIS","17","FRESH MARKET","OPERATIONS WITH SALES",NA,"5","95.4"
"77",2021,"STATE","ILLINOIS","17","FRESH MARKET","SALES"," $","16,000","95.0"
"78",2021,"STATE","ILLINOIS","17","FRESH MARKET","SALES"," CWT","53","94.9"
"79",2021,"STATE","INDIANA","18",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"80",2021,"STATE","INDIANA","18",NA,"OPERATIONS WITH AREA HARVESTED",NA,"2","(H)"
"81",2021,"STATE","INDIANA","18",NA,"OPERATIONS WITH SALES",NA,"2","(H)"
"82",2021,"STATE","INDIANA","18",NA,"PRODUCTION"," CWT","(D)","(D)"
"83",2021,"STATE","INDIANA","18",NA,"SALES"," $","(D)","(D)"
"84",2021,"STATE","INDIANA","18",NA,"SALES"," CWT","(D)","(D)"
"85",2021,"STATE","INDIANA","18","FRESH MARKET","OPERATIONS WITH SALES",NA,"2","(H)"
"86",2021,"STATE","INDIANA","18","FRESH MARKET","SALES"," $","(D)","(D)"
"87",2021,"STATE","INDIANA","18","FRESH MARKET","SALES"," CWT","(D)","(D)"
"88",2021,"STATE","IOWA","19",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"89",2021,"STATE","IOWA","19",NA,"OPERATIONS WITH AREA HARVESTED",NA,"6","97.5"
"90",2021,"STATE","IOWA","19",NA,"OPERATIONS WITH SALES",NA,"6","97.5"
"91",2021,"STATE","IOWA","19",NA,"PRODUCTION"," CWT","74","96.4"
"92",2021,"STATE","IOWA","19",NA,"SALES"," $","(D)","(D)"
"93",2021,"STATE","IOWA","19",NA,"SALES"," CWT","74","96.4"
"94",2021,"STATE","IOWA","19","FRESH MARKET","OPERATIONS WITH SALES",NA,"6","97.5"
"95",2021,"STATE","IOWA","19","FRESH MARKET","SALES"," $","(D)","(D)"
"96",2021,"STATE","IOWA","19","FRESH MARKET","SALES"," CWT","74","96.4"
"97",2021,"STATE","KENTUCKY","21",NA,"ACRES HARVESTED",NA,"5","76.0"
"98",2021,"STATE","KENTUCKY","21",NA,"OPERATIONS WITH AREA HARVESTED",NA,"12","69.1"
"99",2021,"STATE","KENTUCKY","21",NA,"OPERATIONS WITH SALES",NA,"12","69.1"
"100",2021,"STATE","KENTUCKY","21",NA,"PRODUCTION"," CWT","62","72.0"
"101",2021,"STATE","KENTUCKY","21",NA,"SALES"," $","30,828","72.0"
"102",2021,"STATE","KENTUCKY","21",NA,"SALES"," CWT","62","72.0"
"103",2021,"STATE","KENTUCKY","21","FRESH MARKET","OPERATIONS WITH SALES",NA,"12","69.1"
"104",2021,"STATE","KENTUCKY","21","FRESH MARKET","SALES"," $","30,828","72.0"
"105",2021,"STATE","KENTUCKY","21","FRESH MARKET","SALES"," CWT","62","72.0"
"106",2021,"STATE","LOUISIANA","22",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"107",2021,"STATE","LOUISIANA","22",NA,"OPERATIONS WITH AREA HARVESTED",NA,"2","(H)"
"108",2021,"STATE","LOUISIANA","22",NA,"OPERATIONS WITH SALES",NA,"2","(H)"
"109",2021,"STATE","LOUISIANA","22",NA,"PRODUCTION"," CWT","(D)","(D)"
"110",2021,"STATE","LOUISIANA","22",NA,"SALES"," $","(D)","(D)"
"111",2021,"STATE","LOUISIANA","22",NA,"SALES"," CWT","(D)","(D)"
"112",2021,"STATE","LOUISIANA","22","FRESH MARKET","OPERATIONS WITH SALES",NA,"2","(H)"
"113",2021,"STATE","LOUISIANA","22","FRESH MARKET","SALES"," $","(D)","(D)"
"114",2021,"STATE","LOUISIANA","22","FRESH MARKET","SALES"," CWT","(D)","(D)"
"115",2021,"STATE","MAINE","23",NA,"ACRES HARVESTED",NA,"11","62.4"
"116",2021,"STATE","MAINE","23",NA,"OPERATIONS WITH AREA HARVESTED",NA,"16","38.4"
"117",2021,"STATE","MAINE","23",NA,"OPERATIONS WITH SALES",NA,"16","38.4"
"118",2021,"STATE","MAINE","23",NA,"PRODUCTION"," CWT","504","(H)"
"119",2021,"STATE","MAINE","23",NA,"SALES"," $","174,980","(H)"
"120",2021,"STATE","MAINE","23",NA,"SALES"," CWT","504","(H)"
"121",2021,"STATE","MAINE","23","FRESH MARKET","OPERATIONS WITH SALES",NA,"16","38.4"
"122",2021,"STATE","MAINE","23","FRESH MARKET","SALES"," $","174,980","(H)"
"123",2021,"STATE","MAINE","23","FRESH MARKET","SALES"," CWT","504","(H)"
"124",2021,"STATE","MARYLAND","24",NA,"ACRES HARVESTED",NA,"3","31.6"
"125",2021,"STATE","MARYLAND","24",NA,"OPERATIONS WITH AREA HARVESTED",NA,"17","31.1"
"126",2021,"STATE","MARYLAND","24",NA,"OPERATIONS WITH SALES",NA,"17","31.1"
"127",2021,"STATE","MARYLAND","24",NA,"PRODUCTION"," CWT","127","35.4"
"128",2021,"STATE","MARYLAND","24",NA,"SALES"," $","53,810","42.8"
"129",2021,"STATE","MARYLAND","24",NA,"SALES"," CWT","127","35.4"
"130",2021,"STATE","MARYLAND","24","FRESH MARKET","OPERATIONS WITH SALES",NA,"17","31.1"
"131",2021,"STATE","MARYLAND","24","FRESH MARKET","SALES"," $","(D)","(D)"
"132",2021,"STATE","MARYLAND","24","FRESH MARKET","SALES"," CWT","(D)","(D)"
"133",2021,"STATE","MARYLAND","24","PROCESSING","OPERATIONS WITH SALES",NA,"2","(H)"
"134",2021,"STATE","MARYLAND","24","PROCESSING","SALES"," $","(D)","(D)"
"135",2021,"STATE","MARYLAND","24","PROCESSING","SALES"," CWT","(D)","(D)"
"136",2021,"STATE","MASSACHUSETTS","25",NA,"ACRES HARVESTED",NA,"9","89.6"
"137",2021,"STATE","MASSACHUSETTS","25",NA,"OPERATIONS WITH AREA HARVESTED",NA,"12","79.2"
"138",2021,"STATE","MASSACHUSETTS","25",NA,"OPERATIONS WITH SALES",NA,"12","79.2"
"139",2021,"STATE","MASSACHUSETTS","25",NA,"PRODUCTION"," CWT","251","76.5"
"140",2021,"STATE","MASSACHUSETTS","25",NA,"SALES"," $","94,827","80.1"
"141",2021,"STATE","MASSACHUSETTS","25",NA,"SALES"," CWT","251","76.5"
"142",2021,"STATE","MASSACHUSETTS","25","FRESH MARKET","OPERATIONS WITH SALES",NA,"12","79.2"
"143",2021,"STATE","MASSACHUSETTS","25","FRESH MARKET","SALES"," $","94,827","80.1"
"144",2021,"STATE","MASSACHUSETTS","25","FRESH MARKET","SALES"," CWT","251","76.5"
"145",2021,"STATE","MICHIGAN","26",NA,"ACRES HARVESTED",NA,"15","47.2"
"146",2021,"STATE","MICHIGAN","26",NA,"OPERATIONS WITH AREA HARVESTED",NA,"26","32.5"
"147",2021,"STATE","MICHIGAN","26",NA,"OPERATIONS WITH SALES",NA,"26","32.5"
"148",2021,"STATE","MICHIGAN","26",NA,"PRODUCTION"," CWT","564","43.9"
"149",2021,"STATE","MICHIGAN","26",NA,"SALES"," $","174,011","44.1"
"150",2021,"STATE","MICHIGAN","26",NA,"SALES"," CWT","564","43.9"
"151",2021,"STATE","MICHIGAN","26","FRESH MARKET","OPERATIONS WITH SALES",NA,"26","32.5"
"152",2021,"STATE","MICHIGAN","26","FRESH MARKET","SALES"," $","174,011","44.1"
"153",2021,"STATE","MICHIGAN","26","FRESH MARKET","SALES"," CWT","564","43.9"
"154",2021,"STATE","MINNESOTA","27",NA,"ACRES HARVESTED",NA,"19","45.8"
"155",2021,"STATE","MINNESOTA","27",NA,"OPERATIONS WITH AREA HARVESTED",NA,"21","39.5"
"156",2021,"STATE","MINNESOTA","27",NA,"OPERATIONS WITH SALES",NA,"21","39.5"
"157",2021,"STATE","MINNESOTA","27",NA,"PRODUCTION"," CWT","749","54.0"
"158",2021,"STATE","MINNESOTA","27",NA,"SALES"," $","418,914","62.4"
"159",2021,"STATE","MINNESOTA","27",NA,"SALES"," CWT","749","54.0"
"160",2021,"STATE","MINNESOTA","27","FRESH MARKET","OPERATIONS WITH SALES",NA,"18","43.6"
"161",2021,"STATE","MINNESOTA","27","FRESH MARKET","SALES"," $","(D)","(D)"
"162",2021,"STATE","MINNESOTA","27","FRESH MARKET","SALES"," CWT","659","62.9"
"163",2021,"STATE","MINNESOTA","27","PROCESSING","OPERATIONS WITH SALES",NA,"3","95.4"
"164",2021,"STATE","MINNESOTA","27","PROCESSING","SALES"," $","(D)","(D)"
"165",2021,"STATE","MINNESOTA","27","PROCESSING","SALES"," CWT","90","95.4"
"166",2021,"STATE","MONTANA","30",NA,"ACRES HARVESTED",NA,"5","71.5"
"167",2021,"STATE","MONTANA","30",NA,"OPERATIONS WITH AREA HARVESTED",NA,"11","43.6"
"168",2021,"STATE","MONTANA","30",NA,"OPERATIONS WITH SALES",NA,"11","43.6"
"169",2021,"STATE","MONTANA","30",NA,"PRODUCTION"," CWT","96","73.5"
"170",2021,"STATE","MONTANA","30",NA,"SALES"," $","80,886","74.8"
"171",2021,"STATE","MONTANA","30",NA,"SALES"," CWT","96","73.5"
"172",2021,"STATE","MONTANA","30","FRESH MARKET","OPERATIONS WITH SALES",NA,"11","43.6"
"173",2021,"STATE","MONTANA","30","FRESH MARKET","SALES"," $","80,886","74.8"
"174",2021,"STATE","MONTANA","30","FRESH MARKET","SALES"," CWT","96","73.5"
"175",2021,"STATE","NEBRASKA","31",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"176",2021,"STATE","NEBRASKA","31",NA,"OPERATIONS WITH AREA HARVESTED",NA,"1","(H)"
"177",2021,"STATE","NEBRASKA","31",NA,"OPERATIONS WITH SALES",NA,"1","(H)"
"178",2021,"STATE","NEBRASKA","31",NA,"PRODUCTION"," CWT","(D)","(D)"
"179",2021,"STATE","NEBRASKA","31",NA,"SALES"," $","(D)","(D)"
"180",2021,"STATE","NEBRASKA","31",NA,"SALES"," CWT","(D)","(D)"
"181",2021,"STATE","NEBRASKA","31","FRESH MARKET","OPERATIONS WITH SALES",NA,"1","(H)"
"182",2021,"STATE","NEBRASKA","31","FRESH MARKET","SALES"," $","(D)","(D)"
"183",2021,"STATE","NEBRASKA","31","FRESH MARKET","SALES"," CWT","(D)","(D)"
"184",2021,"STATE","NEW HAMPSHIRE","33",NA,"ACRES HARVESTED",NA,"6","(H)"
"185",2021,"STATE","NEW HAMPSHIRE","33",NA,"OPERATIONS WITH AREA HARVESTED",NA,"9","58.7"
"186",2021,"STATE","NEW HAMPSHIRE","33",NA,"OPERATIONS WITH SALES",NA,"9","58.7"
"187",2021,"STATE","NEW HAMPSHIRE","33",NA,"PRODUCTION"," CWT","132","(H)"
"188",2021,"STATE","NEW HAMPSHIRE","33",NA,"SALES"," $","52,665","(H)"
"189",2021,"STATE","NEW HAMPSHIRE","33",NA,"SALES"," CWT","132","(H)"
"190",2021,"STATE","NEW HAMPSHIRE","33","FRESH MARKET","OPERATIONS WITH SALES",NA,"9","58.7"
"191",2021,"STATE","NEW HAMPSHIRE","33","FRESH MARKET","SALES"," $","52,665","(H)"
"192",2021,"STATE","NEW HAMPSHIRE","33","FRESH MARKET","SALES"," CWT","132","(H)"
"193",2021,"STATE","NEW JERSEY","34",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"194",2021,"STATE","NEW JERSEY","34",NA,"OPERATIONS WITH AREA HARVESTED",NA,"3","(H)"
"195",2021,"STATE","NEW JERSEY","34",NA,"OPERATIONS WITH SALES",NA,"3","(H)"
"196",2021,"STATE","NEW JERSEY","34",NA,"PRODUCTION"," CWT","(D)","(D)"
"197",2021,"STATE","NEW JERSEY","34",NA,"SALES"," $","28,166","(H)"
"198",2021,"STATE","NEW JERSEY","34",NA,"SALES"," CWT","(D)","(D)"
"199",2021,"STATE","NEW JERSEY","34","FRESH MARKET","OPERATIONS WITH SALES",NA,"3","(H)"
"200",2021,"STATE","NEW JERSEY","34","FRESH MARKET","SALES"," $","28,166","(H)"
"201",2021,"STATE","NEW JERSEY","34","FRESH MARKET","SALES"," CWT","(D)","(D)"
"202",2021,"STATE","NEW YORK","36",NA,"ACRES HARVESTED",NA,"38","42.2"
"203",2021,"STATE","NEW YORK","36",NA,"OPERATIONS WITH AREA HARVESTED",NA,"45","26.4"
"204",2021,"STATE","NEW YORK","36",NA,"OPERATIONS WITH SALES",NA,"45","26.4"
"205",2021,"STATE","NEW YORK","36",NA,"PRODUCTION"," CWT","1,755","32.6"
"206",2021,"STATE","NEW YORK","36",NA,"SALES"," $","633,111","44.5"
"207",2021,"STATE","NEW YORK","36",NA,"SALES"," CWT","1,755","32.6"
"208",2021,"STATE","NEW YORK","36","FRESH MARKET","OPERATIONS WITH SALES",NA,"43","25.3"
"209",2021,"STATE","NEW YORK","36","FRESH MARKET","SALES"," $","(D)","(D)"
"210",2021,"STATE","NEW YORK","36","FRESH MARKET","SALES"," CWT","(D)","(D)"
"211",2021,"STATE","NEW YORK","36","PROCESSING","OPERATIONS WITH SALES",NA,"2","94.9"
"212",2021,"STATE","NEW YORK","36","PROCESSING","SALES"," $","(D)","(D)"
"213",2021,"STATE","NEW YORK","36","PROCESSING","SALES"," CWT","(D)","(D)"
"214",2021,"STATE","NORTH CAROLINA","37",NA,"ACRES HARVESTED",NA,"6","76.7"
"215",2021,"STATE","NORTH CAROLINA","37",NA,"OPERATIONS WITH AREA HARVESTED",NA,"4","68.3"
"216",2021,"STATE","NORTH CAROLINA","37",NA,"OPERATIONS WITH SALES",NA,"4","68.3"
"217",2021,"STATE","NORTH CAROLINA","37",NA,"PRODUCTION"," CWT","734","89.2"
"218",2021,"STATE","NORTH CAROLINA","37",NA,"SALES"," $","190,000","(H)"
"219",2021,"STATE","NORTH CAROLINA","37",NA,"SALES"," CWT","734","89.2"
"220",2021,"STATE","NORTH CAROLINA","37","FRESH MARKET","OPERATIONS WITH SALES",NA,"4","68.3"
"221",2021,"STATE","NORTH CAROLINA","37","FRESH MARKET","SALES"," $","190,000","(H)"
"222",2021,"STATE","NORTH CAROLINA","37","FRESH MARKET","SALES"," CWT","734","89.2"
"223",2021,"STATE","OHIO","39",NA,"ACRES HARVESTED",NA,"10","67.5"
"224",2021,"STATE","OHIO","39",NA,"OPERATIONS WITH AREA HARVESTED",NA,"9","72.1"
"225",2021,"STATE","OHIO","39",NA,"OPERATIONS WITH SALES",NA,"9","72.1"
"226",2021,"STATE","OHIO","39",NA,"PRODUCTION"," CWT","360","68.4"
"227",2021,"STATE","OHIO","39",NA,"SALES"," $","106,638","69.2"
"228",2021,"STATE","OHIO","39",NA,"SALES"," CWT","360","68.4"
"229",2021,"STATE","OHIO","39","FRESH MARKET","OPERATIONS WITH SALES",NA,"9","72.1"
"230",2021,"STATE","OHIO","39","FRESH MARKET","SALES"," $","106,638","69.2"
"231",2021,"STATE","OHIO","39","FRESH MARKET","SALES"," CWT","360","68.4"
"232",2021,"STATE","OKLAHOMA","40",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"233",2021,"STATE","OKLAHOMA","40",NA,"OPERATIONS WITH AREA HARVESTED",NA,"4","70.4"
"234",2021,"STATE","OKLAHOMA","40",NA,"OPERATIONS WITH SALES",NA,"4","70.4"
"235",2021,"STATE","OKLAHOMA","40",NA,"PRODUCTION"," CWT","1,858","69.9"
"236",2021,"STATE","OKLAHOMA","40",NA,"SALES"," $","(D)","(D)"
"237",2021,"STATE","OKLAHOMA","40",NA,"SALES"," CWT","1,858","69.9"
"238",2021,"STATE","OKLAHOMA","40","FRESH MARKET","OPERATIONS WITH SALES",NA,"4","70.4"
"239",2021,"STATE","OKLAHOMA","40","FRESH MARKET","SALES"," $","(D)","(D)"
"240",2021,"STATE","OKLAHOMA","40","FRESH MARKET","SALES"," CWT","1,858","69.9"
"241",2021,"STATE","OREGON","41",NA,"ACRES HARVESTED",NA,"27","(H)"
"242",2021,"STATE","OREGON","41",NA,"OPERATIONS WITH AREA HARVESTED",NA,"26","54.2"
"243",2021,"STATE","OREGON","41",NA,"OPERATIONS WITH SALES",NA,"26","54.2"
"244",2021,"STATE","OREGON","41",NA,"PRODUCTION"," CWT","1,362","84.2"
"245",2021,"STATE","OREGON","41",NA,"SALES"," $","895,054","(H)"
