"","Year","Period","Geo Level","State","State ANSI","category","measurement","Value"
"332",2018,"YEAR","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","TONS","284,740"
"333",2018,"YEAR","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","CWT","26,454,900"
"334",2018,"YEAR","STATE","CALIFORNIA","06"," ACRES HARVESTED",NA,"36,300"
"335",2018,"YEAR","STATE","CALIFORNIA","06"," ACRES PLANTED",NA,"36,300"
"336",2018,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","$","2,179,066,000"
"337",2018,"YEAR","STATE","CALIFORNIA","06"," PRODUCTION ","CWT","24,000,000"
"338",2018,"YEAR","STATE","CALIFORNIA","06"," YIELD ","CWT / ACRE","660"
"339",2018,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET - PRODUCTION ","$","1,964,352,000"
"340",2018,"YEAR","STATE","CALIFORNIA","06"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","18,888,000"
"341",2018,"YEAR","STATE","CALIFORNIA","06"," NOT SOLD - PRODUCTION ","CWT","24,000"
"342",2018,"YEAR","STATE","CALIFORNIA","06"," PROCESSING - PRODUCTION ","$","214,714,000"
"343",2018,"YEAR","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","CWT","5,088,000"
"344",2018,"YEAR","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","TONS","276,358"
"345",2018,"YEAR","STATE","CALIFORNIA","06"," UTILIZED - PRODUCTION ","CWT","23,976,000"
"346",2018,"YEAR","STATE","FLORIDA","12"," ACRES HARVESTED",NA,"9,400"
"347",2018,"YEAR","STATE","FLORIDA","12"," ACRES PLANTED",NA,"9,400"
"348",2018,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","$","243,800,000"
"349",2018,"YEAR","STATE","FLORIDA","12"," PRODUCTION ","CWT","2,120,000"
"350",2018,"YEAR","STATE","FLORIDA","12"," YIELD ","CWT / ACRE","225"
"351",2018,"YEAR","STATE","FLORIDA","12"," FRESH MARKET - PRODUCTION ","$","243,800,000"
"352",2018,"YEAR","STATE","FLORIDA","12"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","2,120,000"
"353",2018,"YEAR","STATE","FLORIDA","12"," NOT SOLD - PRODUCTION ","CWT","0"
"354",2018,"YEAR","STATE","FLORIDA","12"," PROCESSING - PRODUCTION ","$","0"
"355",2018,"YEAR","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","CWT","0"
"356",2018,"YEAR","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","TONS","0"
"357",2018,"YEAR","STATE","FLORIDA","12"," UTILIZED - PRODUCTION ","CWT","2,120,000"
"358",2018,"YEAR","STATE","NEW YORK","36"," ACRES HARVESTED",NA,"700"
"359",2018,"YEAR","STATE","NEW YORK","36"," ACRES PLANTED",NA,"800"
"360",2018,"YEAR","STATE","NEW YORK","36"," PRODUCTION ","$","6,065,000"
"361",2018,"YEAR","STATE","NEW YORK","36"," PRODUCTION ","CWT","30,000"
"362",2018,"YEAR","STATE","NEW YORK","36"," YIELD ","CWT / ACRE","44"
"363",2018,"YEAR","STATE","NEW YORK","36"," FRESH MARKET - PRODUCTION ","$","(D)"
"364",2018,"YEAR","STATE","NEW YORK","36"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"365",2018,"YEAR","STATE","NEW YORK","36"," NOT SOLD - PRODUCTION ","CWT","200"
"366",2018,"YEAR","STATE","NEW YORK","36"," PROCESSING - PRODUCTION ","$","(D)"
"367",2018,"YEAR","STATE","NEW YORK","36"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"368",2018,"YEAR","STATE","NEW YORK","36"," UTILIZED - PRODUCTION ","CWT","29,800"
"369",2018,"YEAR","STATE","NORTH CAROLINA","37"," ACRES HARVESTED",NA,"1,000"
"370",2018,"YEAR","STATE","NORTH CAROLINA","37"," ACRES PLANTED",NA,"1,100"
"371",2018,"YEAR","STATE","NORTH CAROLINA","37"," PRODUCTION ","$","22,230,000"
"372",2018,"YEAR","STATE","NORTH CAROLINA","37"," PRODUCTION ","CWT","130,000"
"373",2018,"YEAR","STATE","NORTH CAROLINA","37"," YIELD ","CWT / ACRE","125"
"374",2018,"YEAR","STATE","NORTH CAROLINA","37"," FRESH MARKET - PRODUCTION ","$","22,230,000"
"375",2018,"YEAR","STATE","NORTH CAROLINA","37"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","130,000"
"376",2018,"YEAR","STATE","NORTH CAROLINA","37"," NOT SOLD - PRODUCTION ","CWT","0"
"377",2018,"YEAR","STATE","NORTH CAROLINA","37"," PROCESSING - PRODUCTION ","$","0"
"378",2018,"YEAR","STATE","NORTH CAROLINA","37"," PROCESSING UTILIZED - PRODUCTION ","CWT","0"
"379",2018,"YEAR","STATE","NORTH CAROLINA","37"," PROCESSING UTILIZED - PRODUCTION ","TONS","0"
"380",2018,"YEAR","STATE","NORTH CAROLINA","37"," UTILIZED - PRODUCTION ","CWT","130,000"
"381",2018,"YEAR","STATE","OREGON","41"," ACRES HARVESTED",NA,"1,100"
"382",2018,"YEAR","STATE","OREGON","41"," ACRES PLANTED",NA,"1,300"
"383",2018,"YEAR","STATE","OREGON","41"," PRODUCTION ","$","11,687,000"
"384",2018,"YEAR","STATE","OREGON","41"," PRODUCTION ","CWT","110,000"
"385",2018,"YEAR","STATE","OREGON","41"," YIELD ","CWT / ACRE","100"
"386",2018,"YEAR","STATE","OREGON","41"," FRESH MARKET - PRODUCTION ","$","(D)"
"387",2018,"YEAR","STATE","OREGON","41"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"388",2018,"YEAR","STATE","OREGON","41"," NOT SOLD - PRODUCTION ","CWT","700"
"389",2018,"YEAR","STATE","OREGON","41"," PROCESSING - PRODUCTION ","$","(D)"
"390",2018,"YEAR","STATE","OREGON","41"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"391",2018,"YEAR","STATE","OREGON","41"," UTILIZED - PRODUCTION ","CWT","109,300"
"392",2018,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET - PRODUCTION ","$","12,324,000"
"393",2018,"YEAR","STATE","OTHER STATES",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","58,100"
"394",2018,"YEAR","STATE","OTHER STATES",NA," PROCESSING - PRODUCTION ","$","15,027,000"
"395",2018,"YEAR","STATE","OTHER STATES",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","170,800"
"396",2018,"YEAR","STATE","WASHINGTON","53"," ACRES HARVESTED",NA,"820"
"397",2018,"YEAR","STATE","WASHINGTON","53"," ACRES PLANTED",NA,"900"
"398",2018,"YEAR","STATE","WASHINGTON","53"," PRODUCTION ","$","9,599,000"
"399",2018,"YEAR","STATE","WASHINGTON","53"," PRODUCTION ","CWT","90,000"
"400",2018,"YEAR","STATE","WASHINGTON","53"," YIELD ","CWT / ACRE","105"
"401",2018,"YEAR","STATE","WASHINGTON","53"," FRESH MARKET - PRODUCTION ","$","(D)"
"402",2018,"YEAR","STATE","WASHINGTON","53"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"403",2018,"YEAR","STATE","WASHINGTON","53"," NOT SOLD - PRODUCTION ","CWT","200"
"404",2018,"YEAR","STATE","WASHINGTON","53"," PROCESSING - PRODUCTION ","$","(D)"
"405",2018,"YEAR","STATE","WASHINGTON","53"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"406",2018,"YEAR","STATE","WASHINGTON","53"," UTILIZED - PRODUCTION ","CWT","89,800"
"407",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," ACRES HARVESTED",NA,"49,920"
"408",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," ACRES PLANTED",NA,"50,600"
"409",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," PRODUCTION ","$","3,371,461,000"
"410",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," PRODUCTION ","CWT","31,764,900"
"411",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," YIELD ","CWT / ACRE","636.3"
"412",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," FRESH MARKET - PRODUCTION ","$","3,154,923,000"
"413",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","26,040,000"
"414",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," NOT SOLD - PRODUCTION ","CWT","30,100"
"415",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," PROCESSING - PRODUCTION ","$","216,538,000"
"416",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","5,694,800"
"417",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," PROCESSING UTILIZED - PRODUCTION ","TONS","284,740"
"418",2018,"YEAR - AUG FORECAST","NATIONAL","US TOTAL",NA," UTILIZED - PRODUCTION ","CWT","31,734,800"
"419",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," ACRES HARVESTED",NA,"36,400"
"420",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," ACRES PLANTED",NA,"36,500"
"421",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," PRODUCTION ","$","3,030,953,000"
"422",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," PRODUCTION ","CWT","28,938,000"
"423",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," YIELD ","CWT / ACRE","795"
"424",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," FRESH MARKET - PRODUCTION ","$","2,829,210,000"
"425",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","23,381,900"
"426",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," NOT SOLD - PRODUCTION ","CWT","28,900"
"427",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," PROCESSING - PRODUCTION ","$","201,743,000"
"428",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","CWT","5,527,200"
"429",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," PROCESSING UTILIZED - PRODUCTION ","TONS","276,358"
"430",2018,"YEAR - AUG FORECAST","STATE","CALIFORNIA","06"," UTILIZED - PRODUCTION ","CWT","28,909,100"
"431",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," ACRES HARVESTED",NA,"9,900"
"432",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," ACRES PLANTED",NA,"10,000"
"433",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," PRODUCTION ","$","292,050,000"
"434",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," PRODUCTION ","CWT","2,475,000"
"435",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," YIELD ","CWT / ACRE","250"
"436",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," FRESH MARKET - PRODUCTION ","$","292,050,000"
"437",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","2,475,000"
"438",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," NOT SOLD - PRODUCTION ","CWT","0"
"439",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," PROCESSING - PRODUCTION ","$","0"
"440",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","CWT","0"
"441",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," PROCESSING UTILIZED - PRODUCTION ","TONS","0"
"442",2018,"YEAR - AUG FORECAST","STATE","FLORIDA","12"," UTILIZED - PRODUCTION ","CWT","2,475,000"
"443",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," ACRES HARVESTED",NA,"700"
"444",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," ACRES PLANTED",NA,"800"
"445",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," PRODUCTION ","$","6,229,000"
"446",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," PRODUCTION ","CWT","30,800"
"447",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," YIELD ","CWT / ACRE","44"
"448",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," FRESH MARKET - PRODUCTION ","$","(D)"
"449",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"450",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," NOT SOLD - PRODUCTION ","CWT","200"
"451",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," PROCESSING - PRODUCTION ","$","(D)"
"452",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"453",2018,"YEAR - AUG FORECAST","STATE","NEW YORK","36"," UTILIZED - PRODUCTION ","CWT","30,600"
"454",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," ACRES HARVESTED",NA,"1,000"
"455",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," ACRES PLANTED",NA,"1,100"
"456",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," PRODUCTION ","$","21,375,000"
"457",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," PRODUCTION ","CWT","125,000"
"458",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," YIELD ","CWT / ACRE","125"
"459",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," FRESH MARKET - PRODUCTION ","$","21,375,000"
"460",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","125,000"
"461",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," NOT SOLD - PRODUCTION ","CWT","0"
"462",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," PROCESSING - PRODUCTION ","$","0"
"463",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," PROCESSING UTILIZED - PRODUCTION ","CWT","0"
"464",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," PROCESSING UTILIZED - PRODUCTION ","TONS","0"
"465",2018,"YEAR - AUG FORECAST","STATE","NORTH CAROLINA","37"," UTILIZED - PRODUCTION ","CWT","125,000"
"466",2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," ACRES HARVESTED",NA,"1,100"
"467",2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," ACRES PLANTED",NA,"1,300"
"468",2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," PRODUCTION ","$","11,687,000"
"469",2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," PRODUCTION ","CWT","110,000"
"470",2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," YIELD ","CWT / ACRE","100"
"471",2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," FRESH MARKET - PRODUCTION ","$","(D)"
"472",2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"473",2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," NOT SOLD - PRODUCTION ","CWT","700"
"474",2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," PROCESSING - PRODUCTION ","$","(D)"
"475",2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"476",2018,"YEAR - AUG FORECAST","STATE","OREGON","41"," UTILIZED - PRODUCTION ","CWT","109,300"
"477",2018,"YEAR - AUG FORECAST","STATE","OTHER STATES",NA," FRESH MARKET - PRODUCTION ","$","12,288,000"
"478",2018,"YEAR - AUG FORECAST","STATE","OTHER STATES",NA," FRESH MARKET UTILIZED - PRODUCTION ","CWT","58,100"
"479",2018,"YEAR - AUG FORECAST","STATE","OTHER STATES",NA," PROCESSING - PRODUCTION ","$","14,795,000"
"480",2018,"YEAR - AUG FORECAST","STATE","OTHER STATES",NA," PROCESSING UTILIZED - PRODUCTION ","CWT","167,600"
"481",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," ACRES HARVESTED",NA,"820"
"482",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," ACRES PLANTED",NA,"900"
"483",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," PRODUCTION ","$","9,167,000"
"484",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," PRODUCTION ","CWT","86,100"
"485",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," YIELD ","CWT / ACRE","105"
"486",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," FRESH MARKET - PRODUCTION ","$","(D)"
"487",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," FRESH MARKET UTILIZED - PRODUCTION ","CWT","(D)"
"488",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," NOT SOLD - PRODUCTION ","CWT","300"
"489",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," PROCESSING - PRODUCTION ","$","(D)"
"490",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," PROCESSING UTILIZED - PRODUCTION ","CWT","(D)"
"491",2018,"YEAR - AUG FORECAST","STATE","WASHINGTON","53"," UTILIZED - PRODUCTION ","CWT","85,800"
